"epi_marker","vtkOriginalCellIds","Cell Type"
0,4119,5
0,4126,5
0,4127,5
1,4128,5
1,4129,5
0,4132,5
0,4133,5
1,4134,5
1,4139,5
1,4140,5
1,4143,5
1,4144,5
1,4147,5
1,4148,5
1,4149,5
1,4150,5
1,4152,5
1,4153,5
0,4154,5
0,4155,5
0,4158,5
1,4159,5
1,4160,5
1,4162,5
1,4163,5
1,4164,5
1,4165,5
1,4166,5
1,4168,5
1,4172,5
1,4173,5
1,4174,5
1,4178,5
1,4180,5
1,4184,5
0,4186,5
0,4187,5
1,4192,5
1,4195,5
1,4198,5
1,4210,5
1,4213,5
0,4216,5
1,4217,5
1,4224,5
0,4225,5
1,4228,5
1,4232,5
1,4233,5
1,4241,5
0,4253,5
0,4255,5
0,4261,5
0,4265,5
0,4270,5
0,4273,5
1,4277,5
0,4278,5
0,4282,5
0,4288,5
0,4292,5
0,4293,5
1,4294,5
0,4295,5
0,4296,5
0,4297,5
1,4303,5
0,4306,5
0,4308,5
0,4314,5
1,4315,5
1,4316,5
1,4319,5
1,4320,5
0,4323,5
0,4324,5
0,4326,5
0,4328,5
0,4329,5
0,4330,5
1,4332,5
0,4333,5
0,4336,5
1,4337,5
1,4338,5
0,4340,5
0,4342,5
0,4343,5
1,4344,5
1,4345,5
1,4346,5
0,4347,5
1,4348,5
0,4350,5
1,4351,5
1,4352,5
1,4353,5
1,4354,5
1,4355,5
1,4356,5
0,4357,5
1,4359,5
1,4360,5
1,4363,5
0,4364,5
1,4365,5
0,4366,5
1,4367,5
1,4368,5
0,4372,5
1,4374,5
0,4377,5
1,4379,5
1,4384,5
1,4385,5
0,4386,5
1,4387,5
0,4391,5
0,4396,5
0,4397,5
0,4413,5
0,4417,5
0,4428,5
0,4431,5
0,4448,5
1,4456,5
1,4469,5
0,4470,5
1,4478,5
0,4482,5
0,4492,5
0,4497,5
0,4503,5
1,4507,5
0,4508,5
1,4519,5
0,4520,5
1,4527,5
1,4532,5
1,4541,5
1,4542,5
1,4559,5
1,4561,5
1,4565,5
0,4668,5
0,4669,5
0,4673,5
1,4676,5
1,4677,5
0,4680,5
0,4683,5
0,4685,5
0,4686,5
0,4687,5
0,4688,5
0,4689,5
0,4690,5
0,4691,5
0,4692,5
1,4693,5
0,4694,5
1,4695,5
1,4696,5
1,4698,5
0,4699,5
0,4700,5
0,4704,5
0,4705,5
1,4706,5
1,4713,5
1,4722,5
0,4766,5
0,4767,5
0,4769,5
1,4770,5
0,4771,5
1,4772,5
1,4773,5
1,4774,5
1,4775,5
0,4778,5
1,4799,5
1,4802,5
1,4803,5
1,4804,5
1,4805,5
1,4806,5
1,4808,5
0,4811,5
1,4812,5
1,4813,5
1,4816,5
1,4825,5
1,4826,5
1,4914,5
1,4915,5
1,4916,5
1,4919,5
1,4922,5
1,4929,5
1,4930,5
1,4940,5
0,4945,5
1,4953,5
1,4954,5
0,4955,5
1,4957,5
1,4958,5
1,4959,5
1,4963,5
0,4965,5
1,4967,5
0,4974,5
1,4987,5
1,4988,5
1,4991,5
1,5067,5
0,5102,5
0,5127,5
0,5128,5
0,5131,5
0,5132,5
0,5134,5
0,5135,5
1,5136,5
1,5137,5
0,5139,5
1,5142,5
0,5143,5
1,5144,5
1,5146,5
1,5147,5
1,5148,5
1,5149,5
1,5150,5
1,5151,5
0,5157,5
0,5159,5
0,5160,5
0,5161,5
0,5163,5
0,5164,5
0,5165,5
0,5166,5
0,5167,5
0,5168,5
1,5169,5
0,5170,5
1,5171,5
1,5172,5
1,5173,5
0,5174,5
0,5175,5
0,5185,5
0,5219,5
1,5399,5
1,5400,5
1,5401,5
1,5402,5
0,5403,5
0,5404,5
0,5405,5
0,5406,5
1,5407,5
0,5413,5
1,5414,5
0,5415,5
0,5416,5
1,5417,5
0,5419,5
1,5420,5
1,5421,5
0,5422,5
1,5423,5
0,5424,5
0,5425,5
0,5426,5
1,5427,5
0,5428,5
0,5429,5
0,5430,5
1,5431,5
0,5432,5
0,5433,5
0,5434,5
0,5435,5
0,5436,5
0,5437,5
0,5438,5
0,5442,5
0,5443,5
1,5444,5
1,5445,5
1,5446,5
1,5447,5
1,5448,5
0,5449,5
0,5450,5
0,5451,5
1,5454,5
1,5560,5
1,5573,5
1,5576,5
1,5577,5
1,5578,5
1,5581,5
1,5582,5
1,5584,5
1,5585,5
1,5586,5
1,5587,5
1,5588,5
0,5602,5
1,5607,5
1,5608,5
1,5609,5
1,5610,5
1,5618,5
1,5621,5
1,5622,5
1,5626,5
1,5627,5
1,5633,5
1,5634,5
1,5635,5
1,5638,5
1,5641,5
1,5642,5
1,5643,5
1,5644,5
1,5669,5
1,5670,5
1,5671,5
1,5683,5
1,5704,5
1,5749,5
1,5750,5
1,5751,5
1,5752,5
1,5753,5
1,5754,5
1,5755,5
1,5756,5
1,5757,5
1,5758,5
1,5759,5
1,5760,5
1,5764,5
1,5765,5
1,5766,5
1,5767,5
1,5768,5
0,5770,5
0,5771,5
1,5772,5
1,5773,5
1,5777,5
1,5779,5
1,5780,5
1,5781,5
1,5782,5
1,5783,5
0,5787,5
0,5788,5
0,5789,5
0,5790,5
0,5791,5
0,5792,5
1,5793,5
1,5794,5
1,5796,5
1,5804,5
1,5805,5
1,5806,5
1,5807,5
1,5808,5
0,5810,5
0,5811,5
0,5812,5
0,5813,5
1,5814,5
1,5815,5
1,5816,5
1,5817,5
0,5835,5
1,5836,5
1,5837,5
1,5838,5
1,5839,5
1,5841,5
0,5842,5
0,5843,5
0,5844,5
1,5845,5
1,5846,5
1,5847,5
1,5848,5
1,5849,5
1,5850,5
0,5864,5
0,5865,5
0,5866,5
0,5867,5
1,5872,5
1,5873,5
1,5874,5
1,5877,5
0,5878,5
1,5879,5
1,5880,5
1,5881,5
1,5882,5
1,5893,5
1,5894,5
1,5895,5
0,5897,5
0,5898,5
0,5899,5
0,5900,5
1,5911,5
1,5912,5
1,5916,5
1,5917,5
1,5918,5
1,5928,5
1,5929,5
1,5930,5
1,5932,5
1,5939,5
1,5950,5
1,5951,5
1,5952,5
0,5975,5
0,5982,5
1,5983,5
1,5984,5
1,5985,5
1,5994,5
1,5995,5
1,5996,5
1,5997,5
1,6015,5
1,6016,5
1,6017,5
1,6018,5
1,6019,5
1,6020,5
1,6021,5
1,6022,5
1,6038,5
1,6039,5
1,6040,5
1,6041,5
1,6042,5
1,6043,5
1,6053,5
1,6054,5
1,6055,5
1,6056,5
1,6057,5
1,6066,5
1,6067,5
1,6072,5
1,6221,5
1,6222,5
1,6223,5
1,6224,5
1,6225,5
1,6226,5
1,6228,5
1,6229,5
1,6230,5
1,6231,5
1,6232,5
1,6238,5
1,6239,5
1,6240,5
1,6241,5
1,6248,5
1,6249,5
1,6250,5
1,6251,5
1,6258,5
0,6324,5
1,6325,5
1,6338,5
1,6420,5
0,6425,5
0,6439,5
0,6440,5
0,6441,5
0,6442,5
0,6443,5
0,6444,5
0,6445,5
1,6448,5
0,6449,5
0,6450,5
0,6451,5
1,6452,5
1,6454,5
1,6455,5
1,6456,5
1,6457,5
1,6458,5
1,6459,5
1,6460,5
0,6464,5
0,6465,5
0,6467,5
0,6468,5
0,6469,5
0,6470,5
0,6471,5
0,6472,5
0,6473,5
1,6474,5
1,6475,5
1,6476,5
0,6477,5
0,6478,5
0,6479,5
1,6480,5
1,6481,5
1,6482,5
1,6483,5
1,6484,5
1,6485,5
1,6486,5
0,6487,5
0,6488,5
0,6756,5
0,6757,5
1,6758,5
0,6759,5
0,6760,5
0,6761,5
0,6762,5
1,6763,5
1,6764,5
1,6765,5
1,6766,5
1,6767,5
1,6768,5
1,6769,5
0,6770,5
1,6771,5
1,6772,5
1,6773,5
1,6776,5
1,6777,5
0,6778,5
0,6779,5
0,6780,5
0,6781,5
1,6784,5
1,6861,5
1,6862,5
1,6866,5
1,6867,5
1,6868,5
1,6869,5
1,6870,5
1,6875,5
1,6877,5
1,6878,5
1,6884,5
1,6885,5
1,6886,5
1,6887,5
1,6888,5
1,6889,5
1,6895,5
1,6896,5
1,6898,5
1,6899,5
1,6908,5
1,6909,5
1,6910,5
1,6921,5
1,6922,5
1,6923,5
1,6924,5
1,6925,5
1,6937,5
1,6945,5
1,6946,5
1,6947,5
0,7001,5
0,7002,5
1,7003,5
1,7004,5
1,7005,5
1,7006,5
1,7007,5
1,7008,5
1,7009,5
1,7010,5
1,7011,5
1,7012,5
1,7013,5
1,7014,5
1,7015,5
0,7018,5
0,7019,5
0,7022,5
0,7023,5
1,7025,5
1,7026,5
0,7044,5
0,7045,5
1,7046,5
1,7047,5
1,7055,5
1,7056,5
1,7057,5
1,7062,5
1,7063,5
1,7069,5
1,7070,5
1,7078,5
1,7079,5
1,7084,5
1,7085,5
1,7090,5
1,7091,5
1,7092,5
1,7093,5
1,7098,5
1,7099,5
1,7100,5
1,7104,5
1,7105,5
1,7106,5
1,7107,5
0,7232,5
0,7233,5
0,7364,5
0,7378,5
0,7380,5
0,7381,5
0,7382,5
0,7383,5
0,7384,5
0,7385,5
0,7386,5
1,7387,5
0,7388,5
1,7389,5
1,7390,5
1,7391,5
1,7394,5
1,7395,5
1,7396,5
1,7403,5
1,7404,5
0,7407,5
0,7408,5
0,7409,5
0,7410,5
0,7411,5
0,7412,5
1,7413,5
0,7414,5
0,7415,5
0,7416,5
1,7417,5
1,7418,5
1,7681,5
1,7682,5
1,7683,5
