"epi_marker","vtkOriginalCellIds","Cell Type"
0,2390,5
0,2391,5
0,2393,5
0,2394,5
0,2395,5
0,2396,5
0,2397,5
0,2398,5
0,2399,5
0,2400,5
0,2401,5
0,2402,5
0,2403,5
0,2404,5
0,2405,5
0,2406,5
0,2407,5
0,2408,5
0,2409,5
0,2410,5
0,2411,5
0,2412,5
0,2413,5
0,2414,5
0,2415,5
0,2416,5
0,2417,5
0,2418,5
0,2419,5
0,2420,5
0,2421,5
0,2422,5
0,2423,5
0,2424,5
0,2425,5
0,2426,5
0,2427,5
0,2428,5
0,2429,5
0,2430,5
0,2431,5
0,2432,5
0,2433,5
0,2434,5
0,2435,5
0,2436,5
0,2437,5
0,2438,5
0,2439,5
0,2440,5
0,2441,5
0,2442,5
0,2443,5
0,2444,5
0,2445,5
0,2446,5
0,2447,5
0,2448,5
0,2449,5
0,2450,5
0,2451,5
0,2452,5
0,2453,5
0,2454,5
0,2455,5
0,2456,5
0,2457,5
0,2458,5
0,2459,5
0,2460,5
0,2461,5
0,2462,5
0,2534,5
0,2535,5
0,2536,5
0,2543,5
0,2544,5
0,2545,5
0,2546,5
0,2547,5
0,2548,5
0,2549,5
0,2550,5
0,2602,5
0,2603,5
0,2604,5
0,2605,5
0,2647,5
0,2649,5
0,2650,5
0,2651,5
0,2652,5
0,2653,5
0,2654,5
0,2674,5
0,2675,5
0,2687,5
0,2688,5
0,2771,5
0,2772,5
0,2773,5
0,2774,5
0,2778,5
0,2790,5
0,2791,5
0,2798,5
0,2799,5
0,2800,5
0,2801,5
0,2808,5
0,2809,5
0,2810,5
0,2811,5
0,2830,5
0,2831,5
0,3015,5
0,3016,5
0,3057,5
0,3058,5
0,3071,5
0,3072,5
0,3073,5
0,3074,5
0,3127,5
0,3128,5
1,9143,5
0,9153,5
0,9165,5
0,9170,5
0,9180,5
0,9191,5
0,9195,5
0,9321,5
1,9322,5
1,9327,5
1,9346,5
0,9356,5
0,9357,5
0,9363,5
0,9364,5
0,9370,5
0,9375,5
1,9376,5
0,9379,5
0,9382,5
0,9409,5
0,9417,5
0,9425,5
1,9640,5
1,9648,5
1,9651,5
1,9652,5
0,9657,5
0,9658,5
0,9701,5
0,9713,5
1,9715,5
1,9718,5
1,9721,5
1,9726,5
1,9729,5
1,9738,5
1,9747,5
1,9758,5
1,9763,5
0,9768,5
0,9823,5
0,9912,5
1,9980,5
1,9981,5
1,9988,5
1,9990,5
1,9991,5
1,9994,5
1,9998,5
1,9999,5
1,10007,5
0,10009,5
0,10010,5
0,10011,5
0,10012,5
1,10137,5
1,10140,5
1,10151,5
1,10162,5
1,10178,5
1,10179,5
1,10204,5
1,10205,5
1,10208,5
1,10209,5
0,10237,5
0,10238,5
0,10239,5
1,10244,5
1,10263,5
0,10264,5
1,10315,5
1,10316,5
1,10711,5
1,10712,5
1,10713,5
0,10716,5
0,10717,5
0,10718,5
0,10719,5
0,10790,5
1,10862,5
1,10863,5
1,10869,5
1,10881,5
0,10897,5
0,10898,5
0,10900,5
0,10901,5
1,11021,5
1,11070,5
1,11073,5
0,11082,5
1,11087,5
1,11089,5
0,11093,5
0,11094,5
1,11096,5
1,11108,5
1,11109,5
0,11116,5
1,11117,5
0,11185,5
0,11186,5
1,11194,5
1,11195,5
1,11199,5
1,11208,5
1,11209,5
0,11226,5
1,11227,5
1,11260,5
1,11318,5
1,11361,5
1,11362,5
1,11392,5
1,11681,5
1,11699,5
1,11715,5
1,11716,5
1,11748,5
1,11749,5
0,11881,5
1,11886,5
0,11887,5
0,11888,5
1,11893,5
0,11894,5
1,11901,5
1,11902,5
1,11906,5
1,11909,5
1,11913,5
1,11914,5
1,11916,5
1,11921,5
1,11925,5
1,11926,5
1,11927,5
1,11935,5
0,11959,5
0,11960,5
0,11961,5
0,11970,5
1,12124,5
1,12125,5
0,12126,5
0,12127,5
1,12132,5
1,12133,5
1,12134,5
1,12138,5
1,12139,5
0,12142,5
0,12143,5
1,12148,5
0,12149,5
1,12158,5
0,12159,5
0,12167,5
0,12168,5
1,12176,5
1,12195,5
1,12209,5
1,12210,5
1,12290,5
1,12291,5
1,12372,5
1,12373,5
1,12374,5
1,12625,5
1,12831,5
1,12832,5
1,12895,5
1,12896,5
1,12907,5
1,12908,5
1,12919,5
1,12921,5
1,12922,5
1,12925,5
1,12926,5
1,12929,5
1,12932,5
1,12933,5
1,12940,5
1,12941,5
1,12942,5
1,13084,5
1,13086,5
0,13087,5
0,13088,5
1,13119,5
1,13120,5
0,13123,5
0,13152,5
0,13164,5
0,13165,5
0,13166,5
0,13167,5
1,13421,5
1,13422,5
0,13430,5
0,13431,5
0,13432,5
1,13433,5
1,13436,5
1,13437,5
0,13441,5
1,13443,5
1,13444,5
1,13459,5
1,13486,5
1,13487,5
1,13510,5
1,13612,5
0,13619,5
0,13620,5
1,13691,5
1,13692,5
1,13785,5
1,13787,5
1,13789,5
1,13790,5
1,13934,5
1,13935,5
1,13936,5
1,13937,5
1,13940,5
0,13941,5
0,13954,5
1,14077,5
1,14078,5
1,14079,5
1,14080,5
1,14221,5
1,14222,5
0,14260,5
0,14261,5
1,14446,5
1,14447,5
1,14448,5
0,14459,5
0,14468,5
0,14469,5
1,14491,5
1,14492,5
1,14493,5
1,14607,5
1,14608,5
1,14609,5
1,14610,5
0,14743,5
0,14744,5
0,14745,5
1,14746,5
0,14747,5
0,14748,5
0,14749,5
0,14750,5
0,14751,5
0,14752,5
0,14753,5
0,14754,5
0,14757,5
0,14819,5
0,14820,5
0,14821,5
0,14822,5
0,14823,5
0,14824,5
0,14825,5
1,14826,5
1,14827,5
0,14828,5
0,14829,5
0,14830,5
0,14831,5
1,14832,5
1,14833,5
1,14834,5
1,14835,5
1,14836,5
0,14837,5
0,14838,5
1,14839,5
1,14840,5
1,14841,5
1,14923,5
1,14924,5
0,14978,5
0,14979,5
0,14980,5
0,14982,5
0,14983,5
0,15014,5
0,15015,5
1,15016,5
0,15017,5
0,15018,5
1,15019,5
0,15020,5
0,15021,5
1,15022,5
0,15023,5
0,15024,5
0,15076,5
0,15077,5
0,15078,5
0,15100,5
0,15101,5
0,15174,5
0,15176,5
0,15177,5
0,15192,5
0,15193,5
0,15194,5
0,15195,5
0,15212,5
